Eastern Europe,"1,906,056","1,231,372","1,411,742","1,727,796","2,365,579","3,785,890","3,731,327","2,956,783","1,134,680","512,464","182,371","63,408","10,586","1,520"
Albania,"38,663","5,627","7,381","9,180","9,618","8,814","5,608",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Bulgaria,"35,090","8,579","8,463","8,609","8,223","9,399","10,477","11,498",(NA),(NA),(NA),(NA),(NA),(NA)
Czechoslovakia (former),"83,081","87,020","112,707","160,899","227,618","491,638","362,438","219,214","156,891","118,106","85,361","40,289",(NA),(NA)
Estonia,"9,785","9,210","12,169","12,163","13,991","3,550",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Hungary,"92,071","110,337","144,368","183,236","245,252","274,450","397,283","495,609","145,714","62,435","11,526","3,737",(NA),(NA)
Latvia,"27,232","26,179","34,349","41,707","50,681","20,673",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Lithuania,"28,490","29,745","48,194","76,001","121,475","193,606","135,068",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Poland,"466,742","388,328","418,128","548,107","747,750","1,268,583","1,139,979","937,884","383,407","147,440","48,557","14,436","7,298",(NA)
Romania,"135,966","91,106","66,994","70,687","84,575","146,393","102,823","65,923","15,032",(NA),(NA),(NA),(NA),(NA)
"Soviet Union (former, total)","838,809","333,725","406,022","463,462","690,598","1,153,628","1,400,495","1,184,412","423,726","182,644","35,722","4,644","3,160","1,414"
Turkey in Europe,(NA),(NA),(NA),(NA),(NA),"2,257","5,284","32,230","9,910","1,839","1,205",302,128,106
"Yugoslavia (former, total)","278,314","141,516","152,967","153,745","165,798","211,416","169,439",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Other Eastern Europe,(NA),(NA),(NA),(NA),(NA),"1,483","2,433","10,013",(NA),(NA),(NA),(NA),(NA),(NA)
Europe n.e.c.,"4,370","6,037","16,768","20,700","14,320","14,772","3,205","2,858","2,251","12,579","3,314","1,546","1,403",(NA)
Asia,"8,226,254","4,979,037","2,539,777","824,887","490,996","275,665","237,950","191,484","120,248","113,383","107,630","64,565","36,796","1,135"
